data,forn,area,eta,m,f,d,N1,N2,ISTAT,reg
2023-09-26,Pfizer/BioNTech,LOM,40-49,1,0,1,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,50-59,2,0,2,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,60-69,7,3,10,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,70-79,7,3,10,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,80-89,3,7,10,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,LOM,90+,3,4,7,ITC,ITC4,3,Lombardia
2023-09-26,Pfizer/BioNTech,VEN,30-39,1,0,1,ITH,ITH3,5,Veneto
2023-09-26,Pfizer/BioNTech,VEN,60-69,2,3,5,ITH,ITH3,5,Veneto
2023-09-26,Pfizer/BioNTech,VEN,70-79,4,7,11,ITH,ITH3,5,Veneto
2023-09-26,Pfizer/BioNTech,VEN,80-89,9,21,30,ITH,ITH3,5,Veneto
2023-09-26,Pfizer/BioNTech,VEN,90+,6,19,25,ITH,ITH3,5,Veneto
2023-09-27,Novavax,EMR,12-19,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Novavax,EMR,20-29,8,0,8,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Novavax,EMR,30-39,2,0,2,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer Pediatrico,LOM,00-04,0,1,1,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer Pediatrico,LOM,05-11,2,0,2,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,CAM,60-69,0,2,2,ITF,ITF3,15,Campania
2023-09-27,Pfizer/BioNTech,EMR,30-39,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,EMR,40-49,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,EMR,50-59,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,EMR,60-69,1,3,4,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,EMR,70-79,1,1,2,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,EMR,80-89,1,1,2,ITH,ITH5,8,Emilia-Romagna
2023-09-27,Pfizer/BioNTech,FVG,50-59,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-27,Pfizer/BioNTech,FVG,60-69,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-27,Pfizer/BioNTech,LAZ,70-79,1,0,1,ITI,ITI4,12,Lazio
2023-09-27,Pfizer/BioNTech,LIG,60-69,0,1,1,ITC,ITC3,7,Liguria
2023-09-27,Pfizer/BioNTech,LIG,70-79,0,2,2,ITC,ITC3,7,Liguria
2023-09-27,Pfizer/BioNTech,LIG,80-89,1,1,2,ITC,ITC3,7,Liguria
2023-09-27,Pfizer/BioNTech,LIG,90+,1,0,1,ITC,ITC3,7,Liguria
2023-09-27,Pfizer/BioNTech,LOM,12-19,1,1,2,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,20-29,2,4,6,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,40-49,1,1,2,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,50-59,4,3,7,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,60-69,17,9,26,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,70-79,13,11,24,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,80-89,11,14,25,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,LOM,90+,4,5,9,ITC,ITC4,3,Lombardia
2023-09-27,Pfizer/BioNTech,MAR,80-89,1,1,2,ITI,ITI3,11,Marche
2023-09-27,Pfizer/BioNTech,MOL,30-39,0,1,1,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,MOL,40-49,0,1,1,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,MOL,50-59,1,0,1,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,MOL,60-69,2,1,3,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,MOL,70-79,2,1,3,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,MOL,80-89,2,1,3,ITF,ITF2,14,Molise
2023-09-27,Pfizer/BioNTech,PIE,20-29,0,1,1,ITC,ITC1,1,Piemonte
2023-09-27,Pfizer/BioNTech,PIE,70-79,2,1,3,ITC,ITC1,1,Piemonte
2023-09-27,Pfizer/BioNTech,PIE,80-89,1,0,1,ITC,ITC1,1,Piemonte
2023-09-27,Pfizer/BioNTech,SAR,40-49,1,1,2,ITG,ITG2,20,Sardegna
2023-09-27,Pfizer/BioNTech,SAR,50-59,1,0,1,ITG,ITG2,20,Sardegna
2023-09-27,Pfizer/BioNTech,SAR,60-69,1,0,1,ITG,ITG2,20,Sardegna
2023-09-27,Pfizer/BioNTech,SAR,70-79,0,1,1,ITG,ITG2,20,Sardegna
2023-09-27,Pfizer/BioNTech,TOS,12-19,1,0,1,ITI,ITI1,9,Toscana
2023-09-27,Pfizer/BioNTech,TOS,30-39,0,1,1,ITI,ITI1,9,Toscana
2023-09-27,Pfizer/BioNTech,TOS,40-49,1,1,2,ITI,ITI1,9,Toscana
2023-09-27,Pfizer/BioNTech,TOS,80-89,0,1,1,ITI,ITI1,9,Toscana
2023-09-27,Pfizer/BioNTech,VEN,60-69,2,1,3,ITH,ITH3,5,Veneto
2023-09-27,Pfizer/BioNTech,VEN,70-79,2,0,2,ITH,ITH3,5,Veneto
2023-09-27,Pfizer/BioNTech,VEN,80-89,4,14,18,ITH,ITH3,5,Veneto
2023-09-27,Pfizer/BioNTech,VEN,90+,4,7,11,ITH,ITH3,5,Veneto
2023-09-28,Moderna,PIE,50-59,1,0,1,ITC,ITC1,1,Piemonte
2023-09-28,Moderna,PIE,60-69,7,2,9,ITC,ITC1,1,Piemonte
2023-09-28,Moderna,PIE,70-79,3,2,5,ITC,ITC1,1,Piemonte
2023-09-28,Moderna,PIE,80-89,0,2,2,ITC,ITC1,1,Piemonte
2023-09-28,Moderna,PIE,90+,0,1,1,ITC,ITC1,1,Piemonte
2023-09-28,Novavax,CAL,30-39,1,0,1,ITF,ITF6,18,Calabria
2023-09-28,Novavax,LOM,12-19,1,0,1,ITC,ITC4,3,Lombardia
2023-09-28,Novavax,LOM,40-49,1,0,1,ITC,ITC4,3,Lombardia
2023-09-28,Novavax,LOM,70-79,1,1,2,ITC,ITC4,3,Lombardia
2023-09-28,Novavax,LOM,80-89,1,2,3,ITC,ITC4,3,Lombardia
2023-09-28,Novavax,VEN,80-89,1,0,1,ITH,ITH3,5,Veneto
2023-09-28,Pfizer Pediatrico,EMR,05-11,1,1,2,ITH,ITH5,8,Emilia-Romagna
2023-09-28,Pfizer Pediatrico,LOM,00-04,1,1,2,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer Pediatrico,LOM,05-11,4,1,5,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer Pediatrico,MAR,05-11,0,1,1,ITI,ITI3,11,Marche
2023-09-28,Pfizer/BioNTech,EMR,50-59,2,1,3,ITH,ITH5,8,Emilia-Romagna
2023-09-28,Pfizer/BioNTech,EMR,60-69,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-28,Pfizer/BioNTech,EMR,70-79,1,2,3,ITH,ITH5,8,Emilia-Romagna
2023-09-28,Pfizer/BioNTech,EMR,80-89,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-28,Pfizer/BioNTech,FVG,50-59,0,1,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-28,Pfizer/BioNTech,FVG,60-69,2,1,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-28,Pfizer/BioNTech,FVG,70-79,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-28,Pfizer/BioNTech,FVG,80-89,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-28,Pfizer/BioNTech,LAZ,50-59,1,0,1,ITI,ITI4,12,Lazio
2023-09-28,Pfizer/BioNTech,LAZ,60-69,2,1,3,ITI,ITI4,12,Lazio
2023-09-28,Pfizer/BioNTech,LIG,50-59,1,0,1,ITC,ITC3,7,Liguria
2023-09-28,Pfizer/BioNTech,LIG,60-69,0,1,1,ITC,ITC3,7,Liguria
2023-09-28,Pfizer/BioNTech,LIG,70-79,2,0,2,ITC,ITC3,7,Liguria
2023-09-28,Pfizer/BioNTech,LIG,80-89,0,1,1,ITC,ITC3,7,Liguria
2023-09-28,Pfizer/BioNTech,LIG,90+,1,0,1,ITC,ITC3,7,Liguria
2023-09-28,Pfizer/BioNTech,LOM,05-11,0,1,1,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,12-19,1,0,1,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,20-29,3,6,9,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,30-39,3,2,5,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,40-49,0,2,2,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,50-59,4,2,6,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,60-69,16,16,32,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,70-79,20,16,36,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,80-89,3,8,11,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,LOM,90+,2,2,4,ITC,ITC4,3,Lombardia
2023-09-28,Pfizer/BioNTech,PIE,40-49,1,0,1,ITC,ITC1,1,Piemonte
2023-09-28,Pfizer/BioNTech,PIE,60-69,2,3,5,ITC,ITC1,1,Piemonte
2023-09-28,Pfizer/BioNTech,PIE,80-89,1,0,1,ITC,ITC1,1,Piemonte
2023-09-28,Pfizer/BioNTech,PUG,30-39,0,1,1,ITF,ITF4,16,Puglia
2023-09-28,Pfizer/BioNTech,TOS,90+,0,1,1,ITI,ITI1,9,Toscana
2023-09-29,Moderna,PIE,50-59,0,1,1,ITC,ITC1,1,Piemonte
2023-09-29,Novavax,LOM,80-89,0,1,1,ITC,ITC4,3,Lombardia
2023-09-29,Novavax,PUG,30-39,1,0,1,ITF,ITF4,16,Puglia
2023-09-29,Novavax,VEN,70-79,1,0,1,ITH,ITH3,5,Veneto
2023-09-29,Novavax,VEN,80-89,0,1,1,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,CAM,40-49,0,1,1,ITF,ITF3,15,Campania
2023-09-29,Pfizer/BioNTech,CAM,50-59,2,1,3,ITF,ITF3,15,Campania
2023-09-29,Pfizer/BioNTech,CAM,60-69,2,1,3,ITF,ITF3,15,Campania
2023-09-29,Pfizer/BioNTech,CAM,70-79,1,2,3,ITF,ITF3,15,Campania
2023-09-29,Pfizer/BioNTech,CAM,80-89,1,0,1,ITF,ITF3,15,Campania
2023-09-29,Pfizer/BioNTech,EMR,30-39,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-29,Pfizer/BioNTech,EMR,60-69,2,1,3,ITH,ITH5,8,Emilia-Romagna
2023-09-29,Pfizer/BioNTech,EMR,70-79,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-09-29,Pfizer/BioNTech,EMR,80-89,2,1,3,ITH,ITH5,8,Emilia-Romagna
2023-09-29,Pfizer/BioNTech,FVG,40-49,0,1,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-29,Pfizer/BioNTech,FVG,60-69,2,1,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-29,Pfizer/BioNTech,FVG,70-79,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-29,Pfizer/BioNTech,FVG,80-89,2,0,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-09-29,Pfizer/BioNTech,LAZ,12-19,0,1,1,ITI,ITI4,12,Lazio
2023-09-29,Pfizer/BioNTech,LAZ,70-79,1,0,1,ITI,ITI4,12,Lazio
2023-09-29,Pfizer/BioNTech,LAZ,80-89,1,0,1,ITI,ITI4,12,Lazio
2023-09-29,Pfizer/BioNTech,LIG,20-29,1,2,3,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,30-39,2,4,6,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,40-49,2,1,3,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,50-59,4,4,8,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,60-69,11,10,21,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,70-79,3,3,6,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,80-89,1,15,16,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LIG,90+,6,22,28,ITC,ITC3,7,Liguria
2023-09-29,Pfizer/BioNTech,LOM,40-49,2,4,6,ITC,ITC4,3,Lombardia
2023-09-29,Pfizer/BioNTech,LOM,50-59,2,1,3,ITC,ITC4,3,Lombardia
2023-09-29,Pfizer/BioNTech,LOM,60-69,18,10,28,ITC,ITC4,3,Lombardia
2023-09-29,Pfizer/BioNTech,LOM,70-79,9,5,14,ITC,ITC4,3,Lombardia
2023-09-29,Pfizer/BioNTech,LOM,80-89,11,3,14,ITC,ITC4,3,Lombardia
2023-09-29,Pfizer/BioNTech,MAR,60-69,1,0,1,ITI,ITI3,11,Marche
2023-09-29,Pfizer/BioNTech,PUG,60-69,1,1,2,ITF,ITF4,16,Puglia
2023-09-29,Pfizer/BioNTech,SAR,50-59,1,0,1,ITG,ITG2,20,Sardegna
2023-09-29,Pfizer/BioNTech,TOS,30-39,0,1,1,ITI,ITI1,9,Toscana
2023-09-29,Pfizer/BioNTech,TOS,70-79,0,1,1,ITI,ITI1,9,Toscana
2023-09-29,Pfizer/BioNTech,TOS,80-89,0,1,1,ITI,ITI1,9,Toscana
2023-09-29,Pfizer/BioNTech,VDA,50-59,0,2,2,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-29,Pfizer/BioNTech,VDA,60-69,1,2,3,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-29,Pfizer/BioNTech,VDA,70-79,1,0,1,ITC,ITC2,2,Valle d'Aosta / Vallée d'Aoste
2023-09-29,Pfizer/BioNTech,VEN,20-29,1,0,1,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,30-39,0,1,1,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,50-59,3,0,3,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,60-69,3,3,6,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,70-79,1,1,2,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,80-89,1,1,2,ITH,ITH3,5,Veneto
2023-09-29,Pfizer/BioNTech,VEN,90+,0,1,1,ITH,ITH3,5,Veneto
2023-09-30,Pfizer/BioNTech,LOM,12-19,0,1,1,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,LOM,30-39,1,1,2,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,LOM,40-49,1,1,2,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,LOM,60-69,5,3,8,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,LOM,70-79,3,0,3,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,LOM,80-89,2,2,4,ITC,ITC4,3,Lombardia
2023-09-30,Pfizer/BioNTech,TOS,60-69,2,0,2,ITI,ITI1,9,Toscana
2023-10-01,Pfizer Pediatrico,LOM,05-11,1,0,1,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,12-19,0,1,1,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,20-29,9,24,33,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,30-39,47,102,149,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,40-49,59,73,132,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,50-59,93,141,234,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,60-69,566,403,969,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,70-79,469,320,789,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,80-89,198,199,397,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,LOM,90+,22,45,67,ITC,ITC4,3,Lombardia
2023-10-01,Pfizer/BioNTech,MAR,60-69,1,0,1,ITI,ITI3,11,Marche
2023-10-02,Pfizer Pediatrico,EMR,05-11,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-10-02,Pfizer/BioNTech,CAM,40-49,2,0,2,ITF,ITF3,15,Campania
2023-10-02,Pfizer/BioNTech,CAM,50-59,1,1,2,ITF,ITF3,15,Campania
2023-10-02,Pfizer/BioNTech,EMR,05-11,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-10-02,Pfizer/BioNTech,EMR,80-89,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-10-02,Pfizer/BioNTech,FVG,40-49,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,50-59,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,60-69,5,1,6,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,70-79,8,6,14,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,80-89,2,3,5,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,FVG,90+,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-02,Pfizer/BioNTech,LAZ,30-39,2,3,5,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,40-49,1,1,2,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,50-59,0,1,1,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,60-69,3,5,8,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,70-79,1,0,1,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LAZ,80-89,1,0,1,ITI,ITI4,12,Lazio
2023-10-02,Pfizer/BioNTech,LOM,20-29,1,2,3,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,30-39,5,10,15,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,40-49,9,14,23,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,50-59,19,24,43,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,60-69,23,22,45,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,70-79,7,10,17,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,80-89,6,3,9,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,LOM,90+,4,0,4,ITC,ITC4,3,Lombardia
2023-10-02,Pfizer/BioNTech,PIE,60-69,1,0,1,ITC,ITC1,1,Piemonte
2023-10-02,Pfizer/BioNTech,PIE,70-79,3,3,6,ITC,ITC1,1,Piemonte
2023-10-02,Pfizer/BioNTech,PIE,80-89,1,0,1,ITC,ITC1,1,Piemonte
2023-10-02,Pfizer/BioNTech,TOS,12-19,1,0,1,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,30-39,1,2,3,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,40-49,5,4,9,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,50-59,12,6,18,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,60-69,60,42,102,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,70-79,63,46,109,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,80-89,16,15,31,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,TOS,90+,4,9,13,ITI,ITI1,9,Toscana
2023-10-02,Pfizer/BioNTech,VEN,40-49,1,0,1,ITH,ITH3,5,Veneto
2023-10-02,Pfizer/BioNTech,VEN,60-69,1,0,1,ITH,ITH3,5,Veneto
2023-10-02,Pfizer/BioNTech,VEN,70-79,1,0,1,ITH,ITH3,5,Veneto
2023-10-03,Pfizer Pediatrico,LOM,05-11,0,1,1,ITC,ITC4,3,Lombardia
2023-10-03,Pfizer/BioNTech,CAM,50-59,1,1,2,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,60-69,2,2,4,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,70-79,9,6,15,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,CAM,80-89,6,2,8,ITF,ITF3,15,Campania
2023-10-03,Pfizer/BioNTech,EMR,30-39,0,1,1,ITH,ITH5,8,Emilia-Romagna
2023-10-03,Pfizer/BioNTech,EMR,40-49,2,0,2,ITH,ITH5,8,Emilia-Romagna
2023-10-03,Pfizer/BioNTech,EMR,50-59,1,0,1,ITH,ITH5,8,Emilia-Romagna
2023-10-03,Pfizer/BioNTech,FVG,30-39,1,0,1,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,40-49,1,2,3,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,60-69,2,2,4,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,70-79,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,FVG,80-89,1,1,2,ITH,ITH4,6,Friuli-Venezia Giulia
2023-10-03,Pfizer/BioNTech,LAZ,20-29,2,2,4,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,30-39,1,3,4,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,40-49,2,4,6,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,50-59,4,7,11,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,60-69,13,5,18,ITI,ITI4,12,Lazio
2023-10-03,Pfizer/BioNTech,LAZ,70-79,4,4,8,ITI,ITI4,12,Lazio
