area,denominazione_struttura,tipologia,codice_NUTS1,codice_NUTS2,codice_regione_ISTAT,nome_area
ABR,DON ORIONE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,DSB CHIETI CENTRO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,DSB LANCIANO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,DSB ORTONA - SEDE EROG. ORSOGNA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,DSB SAN SALVO - SEDE EROG. CASTIGLIONE M.M.,Territoriale,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO - LANCIANO IL GABBIANO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,FOND. P. A. MILENO LANCIANO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,HOSPICE PESCINA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,HOSPICE TORREVECCHIA TEATINA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,IL CASTELLO COMUNITA' TERAPEUTICA RIABILITATIVA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,IST. RIUNITI S. GIOVANNI BATTISTA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,ISTIT. SACRI CUORI CIRO CIAMPOLI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,LANCIANO-VASTO-CHIETI,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,"LIDO SRL - R.P. ""T. BERARDI"" ORTONA",Territoriale,ITF,ITF1,13,Abruzzo
ABR,"LIDO SRL - R.P. DISABILI ""IL CASTELLO"" CRECCHIO",Territoriale,ITF,ITF1,13,Abruzzo
ABR,NOVA SALUS SRL,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,NOVA SALUS SRL,Territoriale,ITF,ITF1,13,Abruzzo
ABR,OSPEDALE MARIA S.S. DELLO SPLENDORE,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,OSPEDALE MAZZINI,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,OSPEDALE SAN LIBERATORE   DI ATRI  (TE),Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. 'SPIRITO SANTO' PESCARA,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. ATESSA 'SAN CAMILLO DE LELLIS',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. CLINICIZZ. 'SS. ANNUNZIATA' CHIETI,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. LANCIANO 'RENZETTI',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. ORTONA 'G. BERNABEO',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. S. MASSIMO DI PENNE,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O. VASTO 'S. PIO DA PIETRALCINA',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O.'S.S. TRINITA'' POPOLI,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O.-VAL VIBRATA SANT'OMERO,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.O.SAN SALVATORE L'AQUILA,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,P.T.A. CASOLI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,P.T.A. GISSI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,P.T.A. GUARDIAGRELE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,PAOLO VI  MADONNA DEL MONTE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,PAOLO VI CENTRO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,PAOLO VI SAN CLEMENTE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,PESCARA,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,PICCOLA OPERA CHARITAS,Territoriale,ITF,ITF1,13,Abruzzo
ABR,PO AVEZZANO 'S. FILIPPO E NICOLA',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,PO SULMONA ' DELL' ANNUNZIATA',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,PO TAGLIACOZZO ' UMBERTO I',Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,PRESIDIO OSPEDALIERO CASTEL DI SANGRO,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,R.A. CASA RELIGIOSA ANTONIANO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,R.A. SANTIAGO (EX MARIA ASSUNTA),Territoriale,ITF,ITF1,13,Abruzzo
ABR,R.S.A. RES. CRISTAL,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RADA - PTA GISSI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RESIDENZA ASSISTENZIALE PER ANZIANI EX ONPI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RIAB. ANFFAS-ONULUS TERAMO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RIABILITAZIONE WELLNESS&C.,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA  CASALENA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA  CASTILENTI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA AZZURRA VILLA SERENA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA CITTA' S.ANGELO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA COVID19 GIULIANOVA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA DE CESARIS,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA FONTECCHIO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA IL GIARDINO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA ISTITUTO DON ORIONE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA MONTEREALE,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA NOVA SALUS,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA SANTA RITA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA TOCCO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA VILLA DOROTEA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,RSA VILLA SAN GIOVANNI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,S.R.R.P. BISENTI,Territoriale,ITF,ITF1,13,Abruzzo
ABR,SAN STE FAR MONTESILVANO,Territoriale,ITF,ITF1,13,Abruzzo
ABR,SERV RIAB SULMONA,Territoriale,ITF,ITF1,13,Abruzzo
ABR,TERAMO,Ospedaliero,ITF,ITF1,13,Abruzzo
ABR,UOSD MEDICINA TERRITORIALE PENITENZ.,Territoriale,ITF,ITF1,13,Abruzzo
BAS,AMB. E LAB. PLESSO DI LAURIA,Territoriale,ITF,ITF5,17,Basilicata
BAS,AMB. TERR. VILLA D'AGRI,Territoriale,ITF,ITF5,17,Basilicata
BAS,ANGELUS SRL,Territoriale,ITF,ITF5,17,Basilicata
BAS,AZIENDA OSPEDALIERA REGIONALE 'S. CARLO',Ospedaliero,ITF,ITF5,17,Basilicata
BAS,AZIENDA SANITARIA LOCALE DI MATERA  ASM,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,AZIENDA SANITARIA LOCALE DI POTENZA ASP,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,C.R.O.B. - I.R.C.C.S.,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,CASA ALLOGGIO 'VALLINA',Territoriale,ITF,ITF5,17,Basilicata
BAS,CASA FAMIGLIA- GRASSANO,Territoriale,ITF,ITF5,17,Basilicata
BAS,DISTRETTO SANITARIO-CALCIANO-,Territoriale,ITF,ITF5,17,Basilicata
BAS,DISTRETTO SANITARIO-SALANDRA-,Territoriale,ITF,ITF5,17,Basilicata
BAS,DISTRETTO SANITARIO-TRICARICO-,Territoriale,ITF,ITF5,17,Basilicata
BAS,DISTRETTO TURSI,Territoriale,ITF,ITF5,17,Basilicata
BAS,DOMUS PADRI TRINITARI -BERNALDA-,Territoriale,ITF,ITF5,17,Basilicata
BAS,FONDAZIONE DON CARLO GNOCCHI - ONLUS,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,OSP S.FRANCESCO DI PAOLA DI PESCOPAGANO,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,OSP S.PIO DA PIETRELCINA DI VILLA D'AGRI,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,OSPEDALE DISTRETTUALE  DI VENOSA,Territoriale,ITF,ITF5,17,Basilicata
BAS,OSPEDALE S.GIOVANNI DI DIO - MELFI,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,OSPEDALE S.GIOVANNI DI LAGONEGRO,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,OSPEDALE SAN CARLO DI POTENZA,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,POLIAMB. PRES. OSP. TRICARICO,Territoriale,ITF,ITF5,17,Basilicata
BAS,POLIAMBULATORIO DI SENISE,Territoriale,ITF,ITF5,17,Basilicata
BAS,POLIAMBULATORIO MADRE TERESA DI CALCUTTA,Territoriale,ITF,ITF5,17,Basilicata
BAS,POLIAMBULATORIO SPECIALISTICO P.O.D TINCHI -PISTICCI,Territoriale,ITF,ITF5,17,Basilicata
BAS,POLIAMBULATORIO SPECIALISTICO STIGLIANO,Territoriale,ITF,ITF5,17,Basilicata
BAS,PRESIDIO DISTRETTUALE STIGLIANO,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,PRESIDIO DISTRETTUALE TRICARICO,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,PRESIDIO OSPEDALIERO -  MATERA,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,PRESIDIO OSPEDALIERO -MATERA-,Ospedaliero,ITF,ITF5,17,Basilicata
BAS,PRESIDIO OSPEDALIERO POLICORO,Territoriale,ITF,ITF5,17,Basilicata
BAS,RSA CHIAROMONTE MODULO R3,Territoriale,ITF,ITF5,17,Basilicata
BAS,RSA MARATEA MODULO R3,Territoriale,ITF,ITF5,17,Basilicata
BAS,RSA-FDG P.O.D. TRICARICO,Territoriale,ITF,ITF5,17,Basilicata
BAS,SEDE DEC. C.DSB RIONERO IN V.,Territoriale,ITF,ITF5,17,Basilicata
BAS,UNIVERSO SALUTE SRL POTENZA,Ospedaliero,ITF,ITF5,17,Basilicata
CAL,A.O.U. MATER DOMINI CATANZARO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,A.S.P. CATANZARO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,A.S.P. COSENZA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,A.S.P. CROTONE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,A.S.P. REGGIO CALABRIA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,A.S.P. VIBO VALENTIA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,AIAS VADUE  DI CAROLEI,Territoriale,ITF,ITF6,18,Calabria
CAL,ANMI SISS - ROSSANO,Territoriale,ITF,ITF6,18,Calabria
CAL,ASS. COMUNITA' PROGETTO SUD,Territoriale,ITF,ITF6,18,Calabria
CAL,ASS. MARANATHA,Territoriale,ITF,ITF6,18,Calabria
CAL,ASS. MUTUA BENEVOLENTIA,Territoriale,ITF,ITF6,18,Calabria
CAL,ASS. MUTUA BENEVOLENTIA VILLA VITTORIA,Territoriale,ITF,ITF6,18,Calabria
CAL,AZIENDA OSPEDALIERA DI COSENZA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,BORGO DEI MASTRI,Territoriale,ITF,ITF6,18,Calabria
CAL,CAPT LUNGRO,Territoriale,ITF,ITF6,18,Calabria
CAL,CAPT MORMANNO,Territoriale,ITF,ITF6,18,Calabria
CAL,CARUSA,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA ALBERGO ORIOLO,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA DELLA SALUTE SCILLA,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA DI CURA 'VILLA CAMINITI',Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA M.MISASI GR.S.BARTOLO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA MADONNA DELLO SCOGLIO SRL,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA S.RITA DOTT. CAPARRA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA SAN FRANCESCO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA SCARNATI,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA TRICARICO ROSANO SRL,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA VILLA DEL SOLE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA VILLA IGEA SRL,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA DI CURA VILLA MICHELINO SRL,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA DI CURA VILLA SERENA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,CASA GIARDINO S.N.C.,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA PROT. CASA DELLA CARITA`,Territoriale,ITF,ITF6,18,Calabria
CAL,CASA PROTETTA DISABILI 'S.ANTONIO',Territoriale,ITF,ITF6,18,Calabria
CAL,CASA PROTETTA SAN TEODORO,Territoriale,ITF,ITF6,18,Calabria
CAL,CASE DELLA SALUTE MORMANNO,Territoriale,ITF,ITF6,18,Calabria
CAL,CENRO RIAB. DON MILANI LUNGRO,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO CLINICO SAN VITALIANO,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO CLINICO SAN VITALIANO SRL,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIAB ESTENSIV AQUASALUS,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIAB.FAGNANO CASTELLO,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABIL SAN MARCO ARG.,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABIL. LUNGRO,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABIL. ROGGIANO G.(CS),Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABIL. SPEZZANO ALBAN.,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABIL.CASTROVILLARI CS,Territoriale,ITF,ITF6,18,Calabria
CAL,CENTRO RIABILITATIVO LUCREZIA,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITÀ TOSSICODIPENDENTI RES CENTRO CALABRESE DI SOLIDARIETÀ-VILLA SAMUELE-GAGLIANO,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITÀ TOSSICODIPENDENTI RES CENTRO CALABRESE DI SOLIDARITÀ-VILLLA EMILIA-S.MARIA CZ,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITÀ TOSSICODIPENDENTI RES MALGRADO TUTTO-BRUTTO ANATROCCOLO- LAMEZIA TERME,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITÀ TOSSICODIPENDENTI RES MALGRADO TUTTO-PIAN DEL DUCA-LAMEZIA TERME,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITÀ TOSSICODIPENTI RES PROGETTO SUD  FANDANGO -LAMEZIA TERME,Territoriale,ITF,ITF6,18,Calabria
CAL,COMUNITA' PROTETTA BONIFATI,Territoriale,ITF,ITF6,18,Calabria
CAL,COSTRUIRE IL DOMANI ONLUS,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI EBEN EZER - CHIARAVALLE CENTRALE,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI FONDAZIONE BETANIA ONLUS CASA DEGLI ULIVI-GIRIFALCO,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI FONDAZIONE BETANIA ONLUS MIMOSA-CATANZARO,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI MADONNA DEL ROSARIO -LAMEZIA TERME,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI MONSIGNOR STANIZZI-CROPANI,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI SAN DOMENICO-PALERMITI,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI VILLA MARIOLINA-MONTAURO,Territoriale,ITF,ITF6,18,Calabria
CAL,CP ANZIANI VILLA S.ELIA-MARCELLINARA,Territoriale,ITF,ITF6,18,Calabria
CAL,CP DISABILI PSICHICI IL GABBIANO-GIZZERIA,Territoriale,ITF,ITF6,18,Calabria
CAL,CP DISABILI PSICHICI MONSIGNOR STANIZZI-CROPANI,Territoriale,ITF,ITF6,18,Calabria
CAL,CPA CASA PROTETTA SAN PIO E MADONNA DELL'IMMACOLATA,Territoriale,ITF,ITF6,18,Calabria
CAL,CPA SAN GIUSEPPE,Territoriale,ITF,ITF6,18,Calabria
CAL,CRE SAN DOMENICO,Territoriale,ITF,ITF6,18,Calabria
CAL,CSM GIRIFALCO RESIDENZIALE CA,Territoriale,ITF,ITF6,18,Calabria
CAL,CSM GIRIFALCO RESIDENZIALE CT,Territoriale,ITF,ITF6,18,Calabria
CAL,FONDAZIONE BETANIA ONLUS,Territoriale,ITF,ITF6,18,Calabria
CAL,FONDAZIONE BETANIA ONLUS-CASA DELLA CARITA' DON NICOLA PAPARO-GASPERINA,Territoriale,ITF,ITF6,18,Calabria
CAL,FONDAZIONE BETANIA ONLUS-CASA SACRI CUORI-RSA DISABILI-CATANZARO,Territoriale,ITF,ITF6,18,Calabria
CAL,FONDAZIONE BETANIA ONLUS-MONS.G.APA- RSA ANZIANI-CATANZARO,Territoriale,ITF,ITF6,18,Calabria
CAL,HOSPICE CASSANO,Territoriale,ITF,ITF6,18,Calabria
CAL,HOSPICE SANT'ANDREA,Territoriale,ITF,ITF6,18,Calabria
CAL,I.N.R.C.A. COSENZA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,IGRECO OSP. RIUNITI MADONNA DELLA CATENA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,IGRECO OSPEDALI RIUNITI EX LA MADONNINA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,IGRECO OSPEDALI RIUNITI EX SACRO CUORE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,ISTITUTO SANT`ANNA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,LA RINASCITA SRL-SANTA CATERINA SULLO IONIO,Territoriale,ITF,ITF6,18,Calabria
CAL,LA VILLETTA COOP. DI ARIANNA,Territoriale,ITF,ITF6,18,Calabria
CAL,LAB DEL P.O. BEATO ANGELICO,Territoriale,ITF,ITF6,18,Calabria
CAL,LAC LAB.AN.DI MUNNO  -AMANTEA,Territoriale,ITF,ITF6,18,Calabria
CAL,MARRELLI HOSPITAL,Ospedaliero,ITF,ITF6,18,Calabria
CAL,ONLUS - CETRARO,Territoriale,ITF,ITF6,18,Calabria
CAL,OSPEDALE  CETRARO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE  ROSSANO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE 'TIBERIO EVOLI' - MELITO P.S.,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE BASSO IONIO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE CIVILE FERRARI - CASTROVILLARI,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE CIVILE LOCRI,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE CIVILE SAN GIOVANNI DI DIO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE CIVILE SGF,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE CORIGLIANO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE DE LELLIS,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE DI LAMEZIA TERME - GIOVANNI PAOLO II,Territoriale,ITF,ITF6,18,Calabria
CAL,OSPEDALE DI SOVERATO - BASSO IONIO,Territoriale,ITF,ITF6,18,Calabria
CAL,OSPEDALE DI SOVERIA MANNELLI,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE DI SOVERIA MANNELLI,Territoriale,ITF,ITF6,18,Calabria
CAL,OSPEDALE GUDO CHIDICHIMO TREBISACCE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE PAOLA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE PUGLIESE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,OSPEDALE T.EVOLI  MELITO P.S.,Territoriale,ITF,ITF6,18,Calabria
CAL,P.O. 'GIOVANNI XXIII',Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. 'GIOVANNI XXIII',Territoriale,ITF,ITF6,18,Calabria
CAL,P.O. 'S. MARIA DEGLI UNGHERESI',Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. 'S.MARIA DEGLI UNGHERESI',Territoriale,ITF,ITF6,18,Calabria
CAL,P.O. DI LOCRI,Territoriale,ITF,ITF6,18,Calabria
CAL,P.O. JAZZOLINO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. PRAIA A MARE,Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. SERRA SAN BRUNO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. TROPEA,Ospedaliero,ITF,ITF6,18,Calabria
CAL,P.O. TROPEA,Territoriale,ITF,ITF6,18,Calabria
CAL,"P.O.""JAZZOLINO""",Territoriale,ITF,ITF6,18,Calabria
CAL,P.O.BEATO ANGELICO,Ospedaliero,ITF,ITF6,18,Calabria
CAL,PO LAMEZIA TERME,Ospedaliero,ITF,ITF6,18,Calabria
CAL,POLIABULATORIO MONTALTO UFFUGO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. POLO SAN. S.MARCO ARG,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. SPEC. AMANTEA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. SPEC. ROCCA IMPERIALE,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. SPEC. SCALEA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. SPECIAL. PALMI,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB. SPECIAL. TAURIANOVA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB.OSPED.DI CASTROVILLARI,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB.SPEC. DI CASSANO JONIO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB.SPEC.LONGOBUCCO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMB.SPEC.S.DEMETRIO CORONE,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBUL. POLO CASTROVILLARI,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO  DI NICOTERA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO CORSO MESSINA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO DI APRIGLIANO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO DI CARIATI,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO P.O ROSSANO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO P.O. ACRI,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO P.O. CORIGLIAN,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO P.O. SAN GIOVANNI IN FIORE,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO QUATTROMIGLIA,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO S. S. B.,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO TREBISACCE,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMBULATORIO VIBO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMULATORIO BISIGNANO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLIAMULATORIO DI ROGLIANO,Territoriale,ITF,ITF6,18,Calabria
CAL,POLO SANITARIO NORD,Territoriale,ITF,ITF6,18,Calabria
CAL,POLO SANITARIO SUD,Territoriale,ITF,ITF6,18,Calabria
CAL,PRESIDIO OSPEDALIERO  CETRARO,Territoriale,ITF,ITF6,18,Calabria
CAL,PRESIDIO OSPEDALIERO PAOLA,Territoriale,ITF,ITF6,18,Calabria
CAL,PRESIDIO OSPEDALIERO RIUNITI,Ospedaliero,ITF,ITF6,18,Calabria
CAL,PROGETTO TERZA ETA',Territoriale,ITF,ITF6,18,Calabria
CAL,R.S.A. MADONNA DELLE GRAZIE,Territoriale,ITF,ITF6,18,Calabria
CAL,R.S.A. SANTA RITA,Territoriale,ITF,ITF6,18,Calabria
